56,-90,78,-54
-70,19,-29,26
-36,71,71,-4
-51,-75,36,50
88,60,-82,93
-31,-2,-34,71
-63,5,82,19
-55,-68,-51,8
65,93,-17,32
21,-3,28,-58
84,-44,4,99
62,-98,49,-58
-33,92,76,-88
-79,63,-91,-25
54,-90,-87,51
-6,89,28,-63
-80,54,-43,38
4,-54,87,-46
-31,8,25,-11
25,59,-13,-59
51,-97,-42,-30
39,13,3,-83
-94,-11,-53,82
-87,-51,-4,31
-87,64,27,71
18,35,-26,-47
18,74,14,-60
-32,98,-94,21
-62,-29,-38,0
75,88,-16,-41
-33,-67,8,-75
-87,73,-64,48
54,-81,96,-91
-98,-87,-96,-81
-39,-49,54,-62
-44,-1,-67,-35
84,-72,85,89
-53,-53,15,-4
89,13,13,99
67,-57,-46,67
5,25,31,82
22,-21,57,29
-15,97,-30,53
99,-1,-21,-32
41,-99,37,-70
57,1,32,39
81,32,-81,91
71,-99,55,-86
77,57,-81,-3
19,-34,-98,90
48,-22,42,45
-34,-99,6,1
-12,-10,-67,69
-91,-76,-6,53
-84,76,-7,57
-16,67,1,-26
76,-52,61,-43
94,-15,65,68
70,18,65,-83
12,56,-3,7
-64,-50,-59,-84
23,81,-62,74
-91,-65,49,6
73,-71,28,86
-74,-47,-95,89
83,-93,36,-85
27,33,71,-93
-68,57,59,32
-49,-5,-62,95
-86,51,-8,66
50,-49,-3,8
87,-38,-11,27
-46,48,43,34
38,-58,24,32
46,-92,-71,98
68,32,-51,-63
40,-37,81,21
-10,65,-20,3
-79,-9,56,96
-59,-33,73,-83
20,25,-1,48
29,-87,73,43
-85,-1,-22,-24
71,-4,-79,-81
-26,37,-43,14
-44,-44,-40,31
58,36,13,-3
6,-25,80,55
-43,-31,78,77
-36,46,-1,52
-100,5,70,-4
8,-100,25,11
-87,44,87,54
69,-1,92,-74
-82,-67,-67,68
-47,-73,83,46
52,-40,-66,59
37,32,56,-3
-3,55,-19,51
94,-65,44,25
91,-82,27,79
63,92,-81,19
44,-40,-10,72
-70,49,-95,-63
78,-67,-62,-37
50,-19,-98,11
-44,-81,49,-73
46,100,-3,-41
64,-76,52,34
-69,73,81,-8
15,29,-17,70
0,47,-22,-50
-44,15,-99,-71
-97,98,-60,-11
42,-20,36,-10
39,78,-75,-64
24,-36,-81,82
22,-26,-8,22
-87,-48,-32,-76
-96,-64,-52,75
-33,27,1,14
83,69,27,1
-78,-55,-94,-74
21,7,-33,-94
56,-33,-21,-89
30,-38,28,-66
32,67,25,-18
82,42,19,-47
88,-50,-65,-43
-23,33,80,94
73,-23,69,54
-3,-87,-29,78
-15,12,25,64
11,-65,82,63
-29,-1,-35,37
39,-19,28,76
-37,-49,-82,-33
68,-97,-15,25
98,-98,-73,-78
77,42,-61,-34
-46,-7,75,-36
-36,12,-91,-92
2,-70,-58,-57
28,-57,-87,15
-10,-51,48,-66
-96,-73,-7,56
-3,-49,3,-45
3,-82,-54,-4
0,45,-3,-29
94,46,18,87
-77,16,60,35
-22,-14,-28,-61
76,35,-60,-53
99,-51,50,40
-23,-12,32,49
61,-92,-5,29
-96,48,-72,-84
-82,6,-12,-39
55,8,13,-21
92,-46,14,-78
-18,-3,5,78
28,-89,-82,63
-91,-35,55,-31
-87,-10,39,80
-64,-53,-23,-26
89,-62,29,-5
3,96,83,-57
-58,99,-4,-71
-58,-10,29,-32
75,-27,-91,-59
50,74,-16,-60
-97,-1,-75,-37
13,-46,28,-69
-23,2,-94,60
88,-72,74,34
-32,49,-17,-100
-48,72,-23,-5
-72,1,100,1
-52,75,50,58
5,-21,12,85
-80,47,56,97
56,49,26,89
-52,-35,-13,-2
26,-44,-85,16
72,34,82,9
-40,-23,-20,41
71,45,-10,-72
-49,86,92,-53
-52,-52,-77,-15
98,96,-76,3
-78,-63,54,-66
55,53,0,1
95,7,-47,58
94,25,-52,-77
46,97,-97,-95
11,-61,-21,-19
-55,79,99,31
-6,67,-2,-59
71,98,33,-100
92,-3,3,10
86,34,-69,30
3,-83,-27,-67
-27,35,75,-17
-61,-65,73,-5
46,45,96,40
-70,11,-26,-90
-14,-74,-52,66
-20,-24,-76,-40
62,-79,-67,79
-45,45,60,-32
75,16,51,-100
-99,-81,68,-80
-59,-53,-16,97
14,-50,-29,-34
16,-29,-23,-40
-9,-7,-27,4
-50,62,-81,-35
15,84,-43,7
62,77,-85,88
-12,77,85,59
92,-76,44,52
33,-4,11,43
-71,-79,-77,31
-83,11,-30,-7
77,-95,-50,76
-40,79,-57,-46
26,-19,77,-44
-98,15,-62,23
-6,-89,27,-97
-99,54,-12,-79
-19,-4,-11,33
-3,-47,-75,-59
29,-10,-89,-47
9,-63,61,93
-20,38,-3,35
-86,67,-90,-79
-7,74,62,65
94,-1,-43,-93
48,43,64,-62
78,84,55,40
18,54,-19,77
92,64,31,59
-92,5,86,-28
-9,-83,-30,-83
-81,61,-1,97
59,71,35,-49
99,35,81,82
-50,58,56,27
9,-95,96,52
-97,36,-3,40
-52,-23,21,67
12,99,69,-7
9,94,-67,-13
46,-81,-82,-16
13,-65,-77,92
26,9,-74,0
96,87,-88,87
-26,-100,-74,13
89,23,-17,8
84,42,16,62
92,-84,73,-14
67,-29,-48,38
-95,-33,-11,68
68,87,74,55
-38,32,98,-2
34,1,26,70
27,2,-96,97
-63,-81,56,2
38,14,94,-88
-37,73,74,66
56,-41,66,56
-61,-59,83,-30
-6,-10,-69,38
-50,1,-60,59
-95,37,46,3
-100,95,97,22
45,31,20,53
40,1,25,-17
-44,-40,-75,5
-37,78,-35,82
30,-76,-63,-22
56,-10,-4,-70
-30,-19,-74,-7
19,20,-41,45
28,24,20,24
37,70,53,-98
27,16,-24,-67
-76,31,-33,-71
-89,-57,54,-26
-81,-64,81,-30
-46,-75,4,-15
-89,-94,59,18
-39,-18,43,37
-17,96,-75,-29
58,-7,71,67
-71,-45,-19,-94
39,-73,-44,-17
38,86,-83,-41
67,-45,-50,-85
-71,40,46,-19
74,-82,95,24
47,9,-84,18
53,28,81,30
20,-90,-73,-82
95,58,-93,-1
5,-7,-47,35
-64,-86,46,-82
-53,-32,-72,78
-53,38,-33,-15
-31,-52,-59,-86
49,-92,-39,52
-91,95,94,97
-82,-43,-17,74
99,-43,88,31
-24,-94,47,-99
10,68,-98,95
3,-30,-12,39
-25,63,29,45
94,-90,85,-12
-24,-27,-33,68
94,45,67,55
-9,-29,-28,-80
88,80,99,-5
45,54,-56,16
-60,-14,73,45
12,13,-12,-3
-19,47,30,-84
87,73,0,-34
68,99,-24,15
-98,-100,68,73
81,-8,85,42
2,93,-97,-60
-87,-8,-65,-42
-84,70,-67,-84
-75,19,-67,21
-19,3,-30,-84
-59,75,-97,-44
-69,-76,-61,-33
-20,44,90,-52
-48,66,51,-55
62,-86,68,1
60,-46,-81,86
-97,91,69,-73
4,31,-24,41
96,-29,48,55
25,-19,73,93
-30,2,52,-6
72,49,26,78
15,-75,-97,12
21,78,-78,-40
-62,-68,25,-63
71,0,10,-77
-88,-40,-22,-73
34,-55,89,-4
-67,0,-93,-92
56,-11,-52,43
1,97,82,-77
27,38,-35,39
-77,26,-78,62
30,-63,-34,17
0,9,49,43
48,-14,12,-12
-90,-87,-49,98
11,81,71,22
