0,7,none
1,22,none
2,28,1
3,24,none
4,18,0
5,6,2
6,17,4:3
7,29,none
8,9,7:6
9,23,7:6
10,21,4
11,30,7:5:4
12,27,10
13,21,5:3
14,14,none
15,28,9:5
16,7,12
17,17,1
18,18,none
19,25,7:6:3
20,25,none
21,28,17
22,9,12:9
23,30,10
24,14,none
25,8,none
26,7,22
27,22,26
28,22,9
29,27,none
30,13,4
31,23,22:27:24
32,12,4
33,9,6
34,28,8
35,26,23
36,20,none
37,20,0
38,13,2:8
39,11,28
40,15,35
41,8,5
42,14,15
43,10,none
44,29,33:29
45,12,none
46,25,35
47,17,21
48,6,34:46
49,6,none
50,18,15
51,24,none
52,27,29:31
53,27,none
54,12,22
55,8,39:53:14
56,20,24
57,27,50:42:8
58,15,31
59,19,31
60,23,31:48
61,11,51:57
62,19,none
63,20,60
64,29,43
65,29,33
66,7,36
67,9,49:47
68,13,67:62:2
69,6,52
70,24,12
71,25,26
72,26,1:33
73,23,none
74,22,53
75,24,48
76,17,none
77,7,none
78,18,36:2:74
79,18,33
80,28,none
81,25,none
82,10,none
83,5,none
84,21,18
85,8,none
86,9,42
87,23,3
88,29,62
89,27,82:79
90,26,none
91,11,27:50
92,17,6
93,26,none
94,23,88:68:35
95,25,69
96,17,85
97,26,none
98,25,20:13
99,29,none
100,25,69:24
